,Unnamed: 0.1,Unnamed: 0,seq,secs,nsecs,p_x,p_y,p_z,o_x,o_y,o_z,x_calibrated,y_calibrated
136,267636,267636,0,1686578339,486038923,20.90779685974121,13.48029899597168,-0.4786940217018127,-0.0312156706741224,0.0207220014099399,0.9665202393716618,51.643359157582736,-31.05641912257022
137,267637,267637,0,1686578340,91239929,20.24072265625,13.439404487609863,-0.4783262014389038,-0.0113470398199334,0.0047970954831478,0.990362451789821,51.41185829407964,-31.68299313486066
138,267638,267638,0,1686578340,494626045,19.810556411743164,13.422052383422852,-0.4779651761054992,-0.0258708990181457,0.0749328578623515,0.9966700424597938,51.25432201313203,-32.08341745407725
139,267639,267639,0,1686578341,301578045,19.172510147094727,13.17432975769043,-0.4767023921012878,0.0656306448951617,-0.0380128449459316,0.9940090663489792,51.22379681559315,-32.766723477695464
140,267640,267640,0,1686578342,511888981,18.15029525756836,12.815068244934082,-0.4756135046482086,0.0105384518590698,0.0538648401107487,0.9979623943991914,51.14046176272555,-33.84627290858899
141,267641,267641,0,1686578343,520459890,17.186975479125977,12.339181900024414,-0.4744616746902466,0.0148152120125478,-0.0503844273700919,-0.9984382620601968,51.18759142276812,-34.91889989400057
142,267642,267642,0,1686578344,327342987,16.41366958618164,12.126639366149902,-0.4351746737957001,-0.0201462879377576,0.0285045928459109,0.9953481679665476,51.07073713019598,-35.713239475655406
143,267643,267643,0,1686578345,335942030,15.55465030670166,12.170635223388672,-0.4479616582393646,-0.0226999567868895,0.0396632191710368,0.977759233452504,50.68403779618687,-36.48068338419773
144,267644,267644,0,1686578345,941101074,15.100574493408203,12.335368156433104,-0.4595828354358673,-0.0324633441513295,-0.0140040534451003,0.935419707304822,50.350116721492604,-36.82922000553846
145,267645,267645,0,1686578346,747997046,14.513894081115724,12.53502082824707,-0.437306672334671,-0.0243144302331375,0.0429880073361868,0.8790121349886939,49.93113255898189,-37.286305443391214
146,267646,267646,0,1686578347,554855108,14.068909645080566,13.09067726135254,-0.4475247263908386,-0.0130144876113949,0.0772460604031511,0.82286667182608,49.243165301897605,-37.46924017744906
147,267647,267647,0,1686578348,563517094,13.50788688659668,13.78083324432373,-0.4658308923244476,0.004909734277475,0.0458272410217249,0.7463242265719281,48.385256839712724,-37.703852081043124
148,267648,267648,0,1686578349,773917913,13.054317474365234,14.764324188232422,-0.4562312364578247,-0.006913654559072,0.0454808680391625,0.7805730281518849,47.302530873822796,-37.72321492166748
149,267649,267649,0,1686578350,984138966,12.4271821975708,15.753584861755373,-0.4795163571834564,-0.0224408852326289,0.0390765177264349,0.8210619147096146,46.14421387154402,-37.897712283035446
150,267650,267650,0,1686578351,992829084,11.750021934509276,16.620792388916016,-0.4826907217502594,-0.0032462603309293,-0.014279985491168,0.8588000062042551,45.077625444058285,-38.16787277646681
151,267651,267651,0,1686578353,1338959,10.994710922241213,17.369598388671875,-0.4853139221668243,-0.0205799152533165,0.0117649094057543,0.8823723670202493,44.08788349288171,-38.55718592029455
152,267652,267652,0,1686578354,10046005,10.25596046447754,18.10055160522461,-0.4878853857517242,-0.0200394391286045,0.0315761673008792,0.8919721947556667,43.1211550514178,-38.938540472698605
153,267653,267653,0,1686578355,18547058,9.58759880065918,18.97547149658203,-0.4748522341251373,0.000906025753605,0.0328036183210546,0.8843330249939524,42.05122357393037,-39.19818305020455
154,267654,267654,0,1686578356,27244091,9.047808647155762,20.10675430297852,-0.4954956173896789,-0.0211880077156945,0.0077743621026215,0.8073160560813583,40.79818498308717,-39.23573643790951
155,267655,267655,0,1686578356,430599928,8.96636962890625,20.429367065429688,-0.4971325397491455,-0.0339550615845153,0.0092650581115275,0.7374993885649669,40.47012042606149,-39.180308265743115
156,267656,267656,0,1686578357,237473965,8.929661750793457,21.26522254943848,-0.5007548332214355,-0.0543476047926229,0.0157558163644356,0.6584938030855362,39.69041091752564,-38.87731802830194
157,267657,267657,0,1686578358,246131897,8.958329200744629,22.294940948486328,-0.5052314400672913,-0.0705292150883492,-0.0028322595472967,0.6046051791780709,38.75964836849517,-38.43647531491933
158,267658,267658,0,1686578358,851326942,8.776357650756836,22.994733810424805,-0.5080939531326294,-0.054013450969869,0.0173855019896868,0.7307796404873897,38.045892670884925,-38.32113512966204
159,267659,267659,0,1686578359,859843969,8.30517864227295,24.074586868286133,-0.5119138360023499,-0.0445657921026267,0.0222654577790085,0.7982829420969174,36.867750092962694,-38.31729461306247
160,267660,267660,0,1686578360,868454933,7.692476272583008,24.94000816345215,-0.51481693983078,-0.0521139640686846,0.0080499044143146,0.8146055337695502,35.828784762379804,-38.52923202873826
161,267661,267661,0,1686578361,877058983,7.154541015625,25.90740203857422,-0.5181978344917297,-0.0488864062699233,0.0419395654688409,0.7915867362155142,34.726643403883216,-38.631726750970614
